comedian,full_name,country,bio,birth_year
Adam Carolla,Adam Carolla,USA,"Adam Carolla (born May 27, 1964) is an American radio personality, television host, comedian, and actor. He hosts The Adam Carolla Show, a talk show distributed as a podcast which set the record as the ""most downloaded podcast"" as judged by Guinness World Records. Carolla co-hosted the syndicated radio call-in program Loveline from 1995 to 2005 as well as the show's television incarnation on MTV from 1996 to 2000. He was the co-host and co-creator of the television program The Man Show (1999–2004), and the co-creator and a regular performer on the television show Crank Yankers (2002–2007). He hosted The Adam Carolla Project, a home improvement television program which aired on TLC in 2005 and The Car Show on Speed TV in 2011. Carolla has also appeared on the network reality television programs Dancing with the Stars and The Celebrity Apprentice. His book, In Fifty Years We'll All Be Chicks, debuted on The New York Times Best Seller list in 2010.",1964
Adam Ferrara,Adam Ferrara,USA,"Adam Ferrara (born February 2, 1966) is an American actor and comedian who played the role of Chief ""Needles"" Nelson on the critically acclaimed FX series Rescue Me and is also a co-host on the U.S. version of Top Gear. He also played Detective Tommy Manetti on the television series The Job. Adam grew up in Huntington Station, New York in an Italian-American family and is married to indie actress Alex Tyler, who is also on the cover of his comedy DVD Funny as Hell. He has performed on Comedy Central Presents and was nominated twice for the American Comedy Award for Best Male Stand-Up. Ferrara frequently performs stand-up at Caroline's and the Comedy Cellar, both of which are in Manhattan. Ferrara also tours often, performing stand-up at the top clubs around the country. He has performed stand-up several times on The Tonight Show, The Late Show with David Letterman, and Comedy Central. His stand up was featured in Comedy Central's animated series Shorties Watchin' Shorties in 2004. Performed an hour stand-up special which aired on Comedy Central entitled Funny As Hell, and was released on DVD the same day. Ferrara co-hosts the American version of Top Gear.",1966
Adam Sandler,Adam Richard Sandler,USA,"Adam Richard Sandler (born September 9, 1966) is an American actor, comedian, screenwriter, musician, and film producer. After becoming a Saturday Night Live cast member, Sandler went on to star in several Hollywood feature films that grossed over $100 million at the box office. He is best known for his comedic roles, such as in the films Billy Madison (1995), Happy Gilmore (1996), The Waterboy (1998), Big Daddy (1999), and Mr. Deeds (2002), though he has ventured into more dramatic territory. In 1999, Sandler founded Happy Madison, a film and television production company that has produced numerous films and developed the 2007 television series Rules of Engagement.",1966
Al Madrigal,"Alessandro Liborio ""Al"" Madrigal",USA,"Alessandro Liborio ""Al"" Madrigal (born July 4, 1971) is an American stand-up comedian and actor. He is a regular correspondent on The Daily Show with Jon Stewart. He previously co-starred in the CBS prime-time situation comedies Gary Unmarried with Jay Mohr and Welcome to The Captain with Fran Kranz. He is a regular sketch performer on The Late Late Show with Craig Ferguson and has also appeared on Jimmy Kimmel Live! A native of San Francisco, California, Madrigal grew up in the city's Inner Sunset District, where his neighbors included future comedians Mike Pritchard, Margaret Cho and the Meehan Brothers. His father is of Mexican heritage while his mother is of Italian heritage. He attended St. Ignatius College Preparatory High School where he was salutatorian for the class of 1989. He then attended the University of San Francisco, but left the school two credits shy of receiving a degree. Madrigal worked for 10 years in a human resources staffing agency run by his family. In 1998, he decided to pursue a full-time career in comedy. Madrigal appeared in San Francisco's comedy clubs, both as a solo performer and as a member of the sketch group Fresh Robots, which he co-founded. In 2002, he enjoyed his first major exposure in two comedy festivals: Sketchfest in San Francisco, as part of Fresh Robots, and the ""New Faces"" showcase of the Just for Laughs Festival in Montreal. In 2003, Madrigal successfully auditioned for a starring role on The Ortegas, a comedy series for the Fox Network. The series, which was based on the BBC comedy The Kumars at No. 42, cast Madrigal as the son of a Mexican American family in California who hosts a TV talk show from a studio he operates in the backyard of his parents' home. However, the network dropped the series from its schedule before broadcasting any of its six filmed episodes. Comedy Central featured his stand up in their animated series Shorties Watchin' Shorties. Madrigal won a jury award in 2004 for best stand-up comedian at the U.S. Comedy Arts Festival in Aspen, Colorado. After winning the award, he signed a talent holding deal with CBS. However, he would not appear on CBS until January 2008, when he was cast as a building attendant named Jesus (pronounced “Jee-sus”) in the CBS comedy Welcome to The Captain. The series was cancelled after five episodes. Madrigal was the star of a 2005 Comedy Central special, and has been a guest on Jimmy Kimmel Live! and The Late Late Show with Craig Ferguson. He co-starred in the CBS series Gary Unmarried (originally titled Project Gary), which debuted on CBS in September 2008. He appeared on The Tonight Show with Conan O'Brien on July 8, 2009. He appeared again on Conan's new TBS Show Conan on May 10, 2011. It was announced on May 17, 2011, that he would be joining The Daily Show with Jon Stewart.",1971
Alan King,Irwin Alan Kniberg,USA,"Alan King (December 26, 1927 – May 9, 2004) was an American actor and comedian known for his biting wit and often angry humorous rants. King became well known as a Jewish comedian and satirist. He was also a serious actor who appeared in a number of movies and television shows. King wrote several books, produced films, and appeared in plays. In later years, he helped many philanthropic causes. King began his comedy career with one-liner routines and other material concerning mothers-in-law and Jews. King's style of comedy changed when he saw Danny Thomas performing in the early 1950s. King realized that Thomas was talking to his audience, not at them, and was getting a better response. King changed his own style from one-liners to a more conversational style that used everyday life for humor. His comedy inspired other comedians such as Joan Rivers, Jerry Seinfeld, Larry David, Billy Crystal, Robert Klein, and Bill Cosby. King married Jeanette Sprung in 1947. They had three children, Andrew, Robert, and Elainie Ray. His wife persuaded him to move to Forest Hills, Queens for their children, and later, to Great Neck, Long Island, where he lived for the rest of his life. There, he developed comedy revolving around life in suburbia. With America moving to suburbs, King's humor took off. The comedian began opening for many celebrities including Judy Garland, Patti Page, Nat King Cole, Billy Eckstine, Lena Horne and Tony Martin. When Martin was cast in the movie Hit the Deck, he suggested King for a part, which resulted in his first movie role. King played small roles in movies in the 1950s, but disliked playing stereotypical roles that he described as ""always the sergeant from Brooklyn named Kowalski"". King eventually expanded his range and made a name for himself in a wide variety of films. He often portrayed a gangster, as in Casino (1995) and Night and the City (1992), both starring Robert De Niro, as well as I, the Jury (1982) and Cat's Eye (1985). He frequently worked for director Sidney Lumet, beginning with Bye Bye Braverman (1968) and The Anderson Tapes (1971). Lumet later cast him in a tour-de-force starring role in Just Tell Me What You Want (1980), a provocative comedy about a ruthless business mogul and his TV-producer mistress (Ali MacGraw). He had another major role in Memories of Me (1988) as the so-called ""king of the Hollywood extras,"" portraying Billy Crystal's terminally ill father. Like many other Jewish comics, King worked the Catskill circuit known as the Borscht Belt. His career took off after appearances on The Ed Sullivan Show, The Perry Como Show and The Garry Moore Show. Living just outside New York City, King was frequently available when Sullivan needed an act to fill in for a last-minute cancellation. King also became a regular guest host for The Tonight Show Starring Johnny Carson, hosted the Oscars in 1972, and was the MC for President John F. Kennedy's inauguration in 1961. King was also the long-standing host of the New York Friar's Club celebrity roasts. King was the first recipient (1988) of the award for American Jewish humor from the National Foundation for Jewish Culture. The award was ultimately renamed in his honor.",1927
Albert Brooks,Albert Lawrence Einstein,USA,"Albert Lawrence Brooks (born Albert Lawrence Einstein; July 22, 1947) is an American actor, voice actor, writer, comedian, and director. He received an Academy Award nomination in 1987 for his role in Broadcast News. His voice acting credits include Marlin the clownfish in Finding Nemo, and recurring guest voices for the animated television series The Simpsons, including Russ Cargill in The Simpsons Movie. Brooks was born in Beverly Hills, California, the son of Thelma Leeds (née Goodman), a singer and actress, and Harry Einstein, a radio comedian who performed on Eddie Cantor's radio program and was known as Parkyakarkus. His brothers are comedic actor Bob Einstein, better known by his stage name ""Super Dave Osborne,"" and Cliff Einstein, a partner and longtime chief creative officer at Los Angeles advertising agency Dailey & Associates. His half-brother was Charles Einstein (1926–2007), a writer for such television programs as Playhouse 90 and Lou Grant. Brooks is Jewish; his grandparents emigrated from Austria and Russia. He grew up among show business royalty in southern California, attending Beverly Hills High School with the likes of Richard Dreyfuss and Rob Reiner.",1947
Alonzo Bodden,Alonzo Bodden,USA,"Alonzo Bodden (born June 13, 1962) is an African-American comedian and actor known for winning the grand prize in the third season of the reality-television series Last Comic Standing. He had been the runner-up in the previous season. In 2005, he released his DVD Tall, Dark and Funny. He was a talent judge in NBC's 5th season of Last Comic Standing, along with Kathleen Madigan and ANT. Bodden was born in Queens, New York. In addition to a BMW M3 car, Bodden owns many motorcycles, including a Triumph Rocket III, a Triumph Speed Triple, a Ducati 1098, a BMW HP2, and a Ducati Multistrada, and formerly owned a Honda CB400F. In 2010, Bodden highsided his Ducati 1098 while racing at Buttonwillow Raceway Park. The crash shattered his scaphoid, requiring surgeries and a bone graft to fix. In 2011, he had customizer Nick Anglada rebuild the bike in a bare aluminum and anodized gold palette. Before his work in show business, Bodden worked for Lockheed Martin. He hosted the Speed TV program ""101 Cars You Must Drive."" He is also a host for ""America's Worst Driver."" He also guest starred on Angel. He has performed on numerous television shows including The Tonight Show with Jay Leno, Late Night with Conan O'Brien, Make Me Laugh, Late Friday, The Late Late Show with Craig Kilborn, Comedy Central Presents and It's Showtime at the Apollo. He is also a voice actor who has worked on Power Rangers: Lightspeed Rescue, Masked Rider, and O'Grady. He is a co-host of Inside the Vault on WGN America. In 2011, he was a panelist on a BBC America year end special of Wait Wait Don't Tell Me.",1962
Amy Schumer,Amy Beth Schumer,USA,"Amy Beth Schumer (born June 1, 1981) is an American stand-up comedian, actress, and writer. She placed fourth on the fifth season of NBC's Last Comic Standing, and she placed second on Comedy Central's Reality Bites Back. In 2012, she held a recurring role on the Adult Swim series Delocated. She is the star of the new comedy series Inside Amy Schumer, which premiered on Comedy Central on April 30, 2013. Schumer portrayed a young woman diagnosed with breast cancer in the off-Broadway black comedy Keeping Abreast. She started doing stand-up comedy on June 1, 2004, when she first performed at Gotham Comedy Club. She recorded a special for Comedy Central before appearing on Last Comic Standing; she said in August 2012 that she thought of the special as her ""big break"". After not passing an audition for an earlier season, she advanced to the finals of the fifth season of the NBC reality television talent show Last Comic Standing and placed fourth. Schumer said in April 2011, ""Last Comic was totally fun. I had a great time because there was no pressure on me; I had been doing stand-up around two years. I wasn't supposed to do well. So every time I advanced it was a happy surprise. I kept it honest on the show and it served me well."" She co-starred in the Comedy Central reality show Reality Bites Back in 2008. In 2009, she appeared in an advertising campaign for Butterfinger. Schumer is a recurring guest on Fox News late-night program Red Eye w/ Greg Gutfeld. Her first Comedy Central Presents special aired on April 2, 2010. She served as a co-host of A Different Spin with Mark Hoppus (later titled Hoppus on Music) in 2011. She has also written for Cosmopolitan. Schumer did an episode (#154) of WTF with Marc Maron podcast on March 03, 2011, in which she discusses her early life in more detail. She has appeared in roles on the NBC comedy series 30 Rock, Live at Gotham, the Adult Swim mockumentary series Delocated, and the HBO series Curb Your Enthusiasm and Girls. She acted in three films in 2012: the independent comedy Price Check, the comedy-drama Seeking a Friend for the End of the World, and the independent comedy Sleepwalk with Me. Schumer also appeared on The Comedy Central Roast of Charlie Sheen in September 2011, and The Comedy Central Roast of Roseanne Barr in August 2012. Her debut standup comedy album Cutting was released on April 25, 2011. Her standup comedy special Mostly Sex Stuff premiered on Comedy Central on August 18, 2012 to positive reviews. Schumer said in February 2012, ""I don't like the observational stuff. I like tackling the stuff nobody else talks about, like the darkest, most serious thing about yourself. I talk about life and sex and personal stories and stuff everybody can relate to, and some can't."" In June 2012, Schumer began work on a sketch comedy series for Comedy Central. The show features single-camera vignettes of Schumer playing ""heightened versions"" of herself. The vignettes are linked together with footage of Schumer's stand-up. The show, titled Inside Amy Schumer, premiered on Comedy Central on April 30, 2013. Inside Amy Schumer has been picked up for a second season that will begin in 2014.",1981
Andrew Dice Clay,Andrew Clay Silverstein,USA,"Andrew Dice Clay (born Andrew Clay Silverstein; September 29, 1957) is an American comedian and actor who played the lead role in the film The Adventures of Ford Fairlane. Clay has been in several movies and has released a number of stand-up albums. He is the only comedian in history to sell out Madison Square Garden two nights in a row, a feat he accomplished in 1990. Clay was born in the Brownsville neighborhood of Brooklyn, New York, the son of Doris and Fred Silverstein, who worked in real estate sales. Clay is of Jewish heritage. Clay was doing impressions and entertaining his family in the living room by the time he was 5. He was a fairly proficient drummer at James Madison High School, and played bar mitzvahs and casual dates as ""Clay Silvers.""",1957
Andy Kaufman,Andrew Geoffrey Kaufman,USA,"Andrew Geoffrey ""Andy"" Kaufman (January 17, 1949 – May 16, 1984) was an American entertainer, actor and performance artist. While often referred to as a comedian, Kaufman did not consider himself to be one. He disdained telling jokes and engaging in comedy as it was traditionally understood, referring to himself instead as a ""song-and-dance man."" Elaborate hoaxes and pranks were major elements of his career. His act maintains a cult following and he continues to be respected among comedians for his original material, performance style, and unflinching commitment to character. Kaufman was born in New York City, on January 17, 1949, the first son of Janice (née Bernstein) and Stanley Kaufman. He grew up in a middle-class Jewish family, in Great Neck, Long Island, New York, and began performing at age nine. He attended the now defunct two-year Grahm Junior College, in Boston, graduating in 1971. He then began performing stand-up comedy at various small clubs along the East Coast.",1949
