comedian,tags,text
Adam Carolla,,You shouldn't be eating anything that takes six minutes to microwave.
Adam Carolla,,If the rich are evil why are you sitting in their library? Why are you sitting in their hall? Why did I just listen to a whole show on orangutans with no commercials that they paid for?
Adam Carolla,,Nature knew what she was doing when she figured out the penis and the cunt.
Adam Carolla,cars,My life is about building and working and wrenching on some cars.
Adam Carolla,,"It’s something I’ve always kicked around, not doing the eBook but the ""Rich Man, Poor Man"" thing."
Adam Carolla,,"Right now, I hope it's later rather than sooner."
Adam Carolla,"truth,honesty","The God's honest truth is that I'm probably funnier, but he's smarter. Here's the thing about Stern - he's really a smart guy. He's nutty. He's outrageous. He's all those things, but he's also a very smart guy."
Adam Carolla,,He has a great sense of humor - but it's in his assembly. It's really his craftsmanship that people overlook. It's not being fair to him just calling him outrageous.
Adam Carolla,,"Maybe it's weird, but I don't feel in any way, shape or form that I'm taking over his show."
Adam Carolla,,"If you are tuning in just for the show, you're going to be sorely disappointed."
Adam Carolla,television,"When you do television, there's more to do, and when you do new television, there's a lot more to do, especially when you don't have partner. I miss not having that person."
Adam Carolla,,"I'd be at someone's house or be up on the roof all day and I'd get lonely - stir crazy - and talk radio became this soothing voice in my life. But the idea that I was making $10 an hour and stacking drywall while these guys were making a few hundred thousand, and they were having a party, and there were Playmates and there were good times, I just couldn't imagine it."
Adam Carolla,,I got drunk in Canada. I was there for 2 days but I was drunk there for 4 days. I don't know how it worked. I guess it was with the time difference or something.
Adam Carolla,"cars,art","The Aston Martin is a beautiful car. It's a work of art, I love the interior and the style of the car."
Adam Carolla,,"Mmm, tastes like hepatitis!"
Adam Carolla,,"Figure out what to do, then take a nap."
Adam Carolla,,"If you're a guy, you have absolutely no idea what's going on at any time in the relationship, ever. Here's what you know: you know when you're getting laid, and you know when it's all over. Those are the only two things you're aware of."
Adam Carolla,,It's like the Fouth of July in my underpants.
Adam Carolla,,"All TV is, is really: ""Don't you want to be this, aren't you glad you're not that."" There's nothing really in the middle."
Adam Carolla,,"I'm really just trying to hash out the next two weeks of my life. So, something that is potentially four months down the road is not just a mile down the road for me, it's a million miles down the road."
Adam Carolla,,"Spontaneous, clever, specific, oblique and at the same time very human."
Adam Carolla,sisters,"I spoke to my dad, and he said it took close to 90 dollars to raise me. But that was me and my sister, and my sister moved out when she was 16, so sometimes it can knock you up to triple digits to raise a kid."
Adam Carolla,,"My feeling is this whole country is founded on the principle of ""if you are not hurting anyone, and you're not fucking with someone else's shit, and you are paying your taxes, you should be able to just do what you want to do."" It's the freedom and the independence."
Adam Carolla,women,"Oprah tells women what to read, what to eat, what to think, what to do..."
Adam Carolla,audience,"There's no math equation that equals ratings or demographics or even takes into consideration ""The Man Show"". What the fuck is ""The Man Show"" audience? You either go up there and connect, or you go up there and you don't connect."
Adam Carolla,"care,dating","Everyone keeps saying, ""Oh my God, oh my God, how intimidating."" It's like saying, ""How could you date Jennifer Aniston after she's been with Brad Pitt?"" I don't care."
Adam Carolla,society,"I urge all our listeners to masturbate. Right now. Because it takes the wind right out of the sex drive. We don't want rapists going into society half-cocked and ready to go. If they masturbate, they'll say, ""Uhh... I think I'll rape tomorrow instead."""
Adam Carolla,"religion,atheism,agnosticism",I am not agnostic. I am atheist. I don’t think there is no God; I know there’s no God. I know there’s no God the same way I know many other laws in our universe. I know there’s no God and I know most of the world knows that as well. They just won’t admit it because there’s another thing they know. They know they’re going to die and it freaks them out. So most people don’t have the courage to admit there’s no God and they know it. They feel it. They try to suppress it. And if you bring it up they get angry because it freaks them out.
Adam Carolla,,"When I am king, I will revise the sexual bases system so that getting to first base will include oral sex and sodomy!"
Adam Carolla,,"It should be like a salmon taking to open water. I've done so much morning radio that I won't be overwhelmed by it, but it's still going to be a challenge."
Adam Carolla,,"What happens is fucking say you can do the joke, but what they're going to do is take your beautiful broth and dump a pillowcase full of flour into it. Then, they say you can still have your broth, but it's not so good anymore, and ultimately it's the people who get the crappy soup because they're worried about the one guy who is allergic to it and not the rest of us."
Adam Carolla,"hate,asians,dancing,terrorists","This is why the terrorists hate us. And it’s not the glitter and it’s not the pomp and circumstance. We’ve got black and white, we’ve got Hispanic and Asian, we got gay, straight, and Guttenberg, all working together for one common goal: to get the mirror ball. And the mirror ball doesn’t care what color you are, and it doesn’t care how rich your parents are, and it doesn’t care what God you pray to. It’s an even wooden floor, and may the best man or woman win. And I say God bless Dancing with the Stars, and God bless the USA."
Adam Carolla,,"My son I worry about. I'm pretty sure he's gonna be gay. At this point I'm just hoping he's not a bottom. Sorry to sound closed-minded and uptight, but let's face it, no dad wants his son to be gay. Not only do you get no grandkids, but I'm sure high school is no picnic for a fifteen-year-old gay boy. On the other hand, maybe I'm just viewing this through the bifocals of an old heterosexual dude. The way things are going, my son will probably get his ass kicked for not being gay. ""Carolla thinks he's too good to suck cock. Come on boys, lets get him."""
Adam Carolla,,"I had two thoughts about it. One was I could do that, and the next one was I'll never get to do that."
Adam Ferrara,"importance,happiness","Ladies, your happiness is very important to us. You have to understand that. Because when you're happy, you let us touch you."
Adam Ferrara,men,"Men tend to lie when it comes to sexual conquests. You should hear some of the ego-driven lies my friends have told me: ""Swear to God, man - the hooker gave the money back."""
Adam Ferrara,,"I woke up my pop in the middle of the night 'cause the boogie man's under my bed. My pop is this big, huge man, nothing can hurt him. I went running into his bedroom like, ""Daddy, Daddy, the boogie man's under the bed!"" Pop opens one eye, he's like, ""Is the boogie man bigger than me?"" ""Well, no Daddy, he's not."" ""Well, you got your choice: you can deal with the boogie man or you can deal with me."""
