comedian,full_name,country,birth_year
Adam Carolla,Adam Carolla,USA,1964
Adam Ferrara,Adam Ferrara,USA,1966
Adam Sandler,Adam Richard Sandler,USA,1966
Al Madrigal,"Alessandro Liborio ""Al"" Madrigal",USA,1971
Alan King,Irwin Alan Kniberg,USA,1927
Albert Brooks,Albert Lawrence Einstein,USA,1947
Alonzo Bodden,Alonzo Bodden,USA,1962
Amy Schumer,Amy Beth Schumer,USA,1981
Andrew Dice Clay,Andrew Clay Silverstein,USA,1957
Andy Kaufman,Andrew Geoffrey Kaufman,USA,1949
Andy Kindler,Andy Kindler,USA,2010
Ant,Anthony Steven Kalloniatis,USA,1967
Anthony Jeselnik,Anthony Jeselnik,USA,1978
Aries Spears,Aries Spears,USA,1975
Arj Barker,Arjan Singh,USA,1974
Artie Lange,"Arthur Steven Lange, Jr.",USA,1967
Aziz Ansari,Aziz Ansari,USA,1983
Bernie Mac,Bernard Jeffrey McCullough,USA,1957
Bill Bellamy,William Bellamy,USA,1965
Bill Burr,William Burr,USA,1968
Bill Cosby,"William Henry Cosby, Jr.",USA,1937
Bill Engvall,"William Ray Engvall, Jr.",USA,1957
Bill Hicks,William Melvin Hicks,USA,1961
Bill Maher,"William Maher, Jr.",USA,1956
Billy Connolly,"William Connolly, Jr.",Scotland,1942
Billy Crystal,William Edward Crystal,USA,1948
Bo Burnham,Robert Burnham,USA,1990
Bob Hope,Leslie Townes Hope,England,1903
Bob Newhart,George Robert Newhart,USA,1929
Bob Saget,Robert Lane Saget,USA,1956
Bobby Slayton,Bobby Slayton,USA,1955
Bobcat Goldthwait,Robert Francis Goldthwait,USA,1962
Bonnie McFarlane,Bonnie McFarlane,Canada,1973
Brad Stine,Brad Stine,USA,1960
Brett Butler,Brett Anderson,USA,1958
Brian Posehn,Brian Edmund Posehn,USA,1966
Brian Regan,Brian Joseph Regan,USA,1980
Bruce Bruce,Bruce Bruce,USA,1965
Buddy Hackett,Leonard Hacker,USA,1924
Carlos Mencia,Ned Arnel Mencia,Honduras,1967
Carol Leifer,Carol Leifer,USA,1956
Carrot Top,Scott Thompson,USA,1965
Cedric the Entertainer,Cedric Antonio Kyles,USA,1964
Chelsea Handler,Chelsea Joy Handler,USA,1975
Chris Hardwick,Christopher Ryan Hardwick,USA,1971
Chris Rock,Christopher Julius Rock III,USA,1965
Chris Tucker,Christopher Tucker,USA,1972
Christian Finnegan,Fletcher Christian Finnegan,USA,1973
Christopher Titus,Christopher Todd Titus,USA,1964
Colin Quinn,Colin Quinn,USA,1959
Craig Ferguson,Craig Ferguson,Scotland,1962
D. L. Hughley,Darryl Lynn Hughley,USA,1963
Damon Wayans,Damon Kyle Wayans,USA,1960
Dana Carvey,Dana Thomas Carvey,USA,1955
Dana Gould,Dana John Gould,USA,1964
Dane Cook,Dane Jeffrey Cook,USA,1972
Daniel Tosh,Daniel Dwight Tosh,Germany,1975
Dat Phan,Dat Phan,Vietnam,1975
Dave Attell,Dave Attell,USA,1965
Dave Chappelle,David Khari Webber Chappelle,USA,1973
David Alan Grier,David Alan Grier,USA,1956
David Brenner,David Brenner,USA,1936
David Cross,David Cross,USA,1964
David Letterman,David Michael Letterman,USA,1947
David Spade,David Wayne Spade,USA,1964
David Steinberg,David Steinberg,Canada,1942
Demetri Martin,Demetri Evan Martin,USA,1973
Denis Leary,Denis Colin Leary,USA,1957
Dennis Miller,Dennis Miller,USA,1953
Dick Gregory,Dick Gregory,USA,1932
Dom Irrera,Domenick Jack Irrera,USA,1947
Don Rickles,Donald Jay Rickles,USA,1926
